B_IND,VALID[0],DIRTY[0],TAG[0],LRU[0],VALID[1],DIRTY[1],TAG[1],LRU[1],VALID[2],DIRTY[2],TAG[2],LRU[2],VALID[3],DIRTY[3],TAG[3],LRU[3],VALID[4],DIRTY[4],TAG[4],LRU[4],VALID[5],DIRTY[5],TAG[5],LRU[5],VALID[6],DIRTY[6],TAG[6],LRU[6],VALID[7],DIRTY[7],TAG[7],LRU[7]
B[0],1,0,00000000000000000000000000000001,101,1,0,00000000000000000000000000000010,252,1,0,00000000000000000000000000000011,403,1,0,00000000000000000000000000000100,554,1,0,00000000000000000000000000000101,705,1,0,00000000000000000000000000000110,856,1,0,00000000000000000000000000000111,1007,1,0,00000000000000000000000000001000,1158
B[1],1,0,00000000000000000000000000000001,1309,1,0,00000000000000000000000000000010,1460,1,0,00000000000000000000000000000011,1611,1,0,00000000000000000000000000000100,1762,1,0,00000000000000000000000000000101,1913,1,0,00000000000000000000000000000110,2064,1,0,00000000000000000000000000000111,2215,0,0,00000000000000000000000000000000,0
B[2],0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0
B[3],0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0
B[4],0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0
B[5],0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0
B[6],0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0
B[7],0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0
B[8],0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0
B[9],0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0
B[10],0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0
B[11],0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0
B[12],0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0
B[13],0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0
B[14],0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0
B[15],0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0
